[2026-06-06 12:49:27,319: INFO: main: IT IS WORKING PERFECTLY]
[2026-06-06 14:13:35,206: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-06 14:13:35,206: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-06 14:14:48,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-06 14:14:48,307: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-06 14:14:48,307: INFO: common: created directory at: artifacts]
[2026-06-06 14:14:48,308: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-06 14:17:07,421: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-06-06 14:17:07,422: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-06 14:17:07,423: INFO: common: created directory at: artifacts]
[2026-06-06 14:17:07,423: INFO: common: created directory at: artifacts/data_ingestion]
[2026-06-06 14:17:07,556: INFO: data_ingestion: Zip file extracted to artifacts/data_ingestion/raw_data]
